Submission ID,Authors,Title,Submission Type,Session,TIme Zone First Author
28,Weronika Sieińska; Christian Dondrup; Nancie Gunson and Oliver Lemon,Conversational Agents for Intelligent Buildings,Demo,Demo (1),UK (GMT+1)
44,Thilo Michael,Retico: An incremental framework for spoken dialogue systems,Demo,Demo (1),Germany (GMT+2
72,Arne Köhn; Julia Wichlacz; Christine Schäfer; Álvaro Torralba; Joerg Hoffmann and Alexander Koller,MC-Saar-Instruct: a Platform for Minecraft Instruction Giving Agents,Demo,Demo (1),Germany
61,Casey Kennington; Daniele Moro; Lucas Marchand; Jake Carns and David McNeill,rrSDS: Towards a Robot-ready Spoken Dialogue System,Demo - SS,Demo (2),US(MDT; GMT-6)
62,Georgiy Platonov; Lenhart Schubert; Benjamin Kane and Aaron Gindi,A Spoken Dialogue System for Spatial Question Answering in a Physical Blocks World,Demo - SS,Demo (2),US(EST)
7,Yansen Wang; R. Charles Murray; Haogang Bao and Carolyn Rose,Agent-Based Dynamic Collaboration Support in a Smart Office Space,Demo,Demo (3),US (EST; GMT-4)
71,Jonathan P. Chang; Caleb Chiam; Liye Fu; Andrew Wang; Justine Zhang and Cristian Danescu-Niculescu-Mizil,ConvoKit: A Toolkit for the Analysis of Conversations,Demo,Demo (3),US (EST)
100,James D. Finch and Jinho D. Choi,Emora STDM: A Versatile Framework for Innovative Dialogue System Development,Demo,Demo (3),US (EST)
16,Yan Cao; Keting Lu; Xiaoping Chen and Shiqi Zhang,Adaptive Dialog Policy Learning with Hindsight and User Modeling,Main Long Paper,Dialogue Policy,China
25,Maryam Zare; Ali Ayub; Aishan Liu; Sweekar Sudhakara; Alan Wagner and Rebecca Passonneau,Dialogue Policies for Learning Board Games through Multimodal Communication,Main Long Paper,Dialogue Policy,US (EST)
4,Shikib Mehri and Maxine Eskenazi,Unsupervised Evaluation of Interactive Dialog with DialoGPT,Main Long Paper,Evaluation + Corpora (1),US (EST)
